kind,name,reg_no,entity,valid_till,status,phone,source
ra,TradeInn (dabba trading platform),,non-individual,,cautioned,7974092256,advisory:NSE Jul 2026 police complaint
ra,Trade Mitra,,non-individual,,cautioned,,advisory:NSE Jul 2026 dabba advisory
ra,Legendary Traders,,non-individual,,cautioned,,advisory:NSE Jul 2026 dabba advisory
ra,Let's Trade India,,non-individual,,cautioned,,advisory:NSE Jul 2026 dabba advisory
ra,Close Friends Traders,,non-individual,,cautioned,,advisory:NSE dabba advisory (closefriendstraders)
ria,Yash Trading Academy,,non-individual,,cautioned,,advisory:SEBI order vs unregistered IA Yash Garg
